X,Y,Krig
4300,4800,-2
4350,4800,0.85
4400,4800,0.74
4450,4800,0.53
4500,4800,0.37
4550,4800,0.37
4600,4800,0.25
4650,4800,0.25
4700,4800,0.25
4750,4800,0.08
4800,4800,0.08
4850,4800,0.05
4300,4850,0.6
4350,4850,0.54
4400,4850,0.55
4450,4850,0.5
4500,4850,0.39
4550,4850,0.47
4600,4850,0.29
4650,4850,0.21
4700,4850,0.21
4750,4850,0.09
4800,4850,0.07
4300,4900,0.58
4350,4900,0.54
4400,4900,0.54
4450,4900,0.52
4500,4900,0.5
4550,4900,0.53
4600,4900,0.38
4650,4900,0.16
4700,4900,0.11
4750,4900,0.07
4300,4950,0.53
4350,4950,0.61
4400,4950,0.54
4450,4950,0.5
4500,4950,0.45
4550,4950,0.45
4600,4950,0.42
4650,4950,0.1
4700,4950,0.1
4300,5000,0.58
4350,5000,0.58
4400,5000,0.52
4450,5000,0.43
4500,5000,0.55
4550,5000,0.67
4600,5000,0.29
4650,5000,0.22
4300,5050,0.51
4350,5050,0.39
4400,5050,0.41
4450,5050,0.43
4500,5050,0.65
4550,5050,0.69
4600,5050,0.68
4300,5100,0.38
4350,5100,0.32
4400,5100,0.29
4450,5100,0.44
4500,5100,0.84
4550,5100,1.02
4300,5150,0.27
4350,5150,0.27
4400,5150,0.29
4450,5150,0.57
4500,5150,0.77
4300,5200,0.27
4350,5200,0.27
4400,5200,0.37
4450,5200,0.84
4300,5250,0.25
4350,5250,0.33
4400,5250,0.61
4300,5300,0.26
4350,5300,0.36
4300,5350,0.37
