X,Y,Z,Krig
4350,4850,3050,0.49
4400,4850,3050,0.51
4450,4850,3050,0.41
4500,4850,3050,0.4
4550,4850,3050,0.4
4600,4850,3050,0.27
4650,4850,3050,0.58
4700,4850,3050,0.49
4350,4900,3050,0.53
4400,4900,3050,0.38
4450,4900,3050,0.38
4500,4900,3050,0.59
4550,4900,3050,0.57
4600,4900,3050,0.53
4650,4900,3050,0.47
4700,4900,3050,0.41
4350,4950,3050,0.34
4400,4950,3050,0.5
4450,4950,3050,0.57
4500,4950,3050,0.51
4550,4950,3050,0.66
4600,4950,3050,0.73
4650,4950,3050,0.39
4700,4950,3050,0.43
4750,4950,3050,0.51
4800,4950,3050,0.48
4350,5000,3050,0.73
4400,5000,3050,0.71
4450,5000,3050,0.74
4500,5000,3050,0.64
4550,5000,3050,0.42
4600,5000,3050,0.44
4650,5000,3050,0.41
4700,5000,3050,0.44
4750,5000,3050,0.64
4800,5000,3050,0.8
4350,5050,3050,0.93
4400,5050,3050,0.74
4450,5050,3050,0.58
4500,5050,3050,0.65
4550,5050,3050,0.27
4600,5050,3050,0.42
4650,5050,3050,0.42
4700,5050,3050,0.66
4750,5050,3050,0.56
4800,5050,3050,0.8
4350,5100,3050,0.85
4400,5100,3050,0.63
4450,5100,3050,0.51
4500,5100,3050,0.24
4550,5100,3050,0.23
4600,5100,3050,0.3
4650,5100,3050,0.52
4700,5100,3050,0.72
4750,5100,3050,0.78
4800,5100,3050,0.89
4350,5150,3050,0.82
4400,5150,3050,0.55
4450,5150,3050,0.45
4500,5150,3050,0.35
4550,5150,3050,0.32
4600,5150,3050,0.3
4650,5150,3050,0.54
4700,5150,3050,0.79
4750,5150,3050,1.37
4800,5150,3050,1.38
4350,5200,3050,0.86
4400,5200,3050,0.67
4450,5200,3050,0.82
4500,5200,3050,0.69
4550,5200,3050,0.58
4600,5200,3050,0.32
4650,5200,3050,0.57
4700,5200,3050,0.8
4750,5200,3050,1.25
4800,5200,3050,1.82
4350,5250,3050,1.66
4400,5250,3050,1.06
4450,5250,3050,1.36
4500,5250,3050,1.12
4550,5250,3050,0.96
4600,5250,3050,0.25
4650,5250,3050,0.43
4700,5250,3050,0.7
4750,5250,3050,0.63
4800,5250,3050,1.31
4350,5300,3050,1.75
4400,5300,3050,1.04
4450,5300,3050,1.36
4500,5300,3050,1.21
4550,5300,3050,0.3
4600,5300,3050,0.42
4650,5300,3050,0.64
4700,5300,3050,0.72
4750,5300,3050,1.83
4800,5300,3050,2.49
4350,5350,3050,1.2
4400,5350,3050,1
4450,5350,3050,0.25
4500,5350,3050,0.38
4550,5350,3050,0.73
4600,5350,3050,1.01
4650,5350,3050,2.22
4700,5350,3050,2.79
4750,5350,3050,1.74
4350,5400,3050,1.51
4400,5400,3050,0.39
4450,5400,3050,0.49
4500,5400,3050,0.77
4550,5400,3050,1.18
4600,5400,3050,1.64
4650,5400,3050,1.65
4700,5400,3050,1.47
4350,5450,3050,1.36
4400,5450,3050,0.38
4450,5450,3050,0.5
4500,5450,3050,0.84
4550,5450,3050,1.19
4600,5450,3050,1.2
4650,5450,3050,0.84
4700,5450,3050,0.67
4350,5500,3050,0.26
4400,5500,3050,0.59
4450,5500,3050,0.93
4500,5500,3050,0.85
4550,5500,3050,0.59
4600,5500,3050,0.45
4650,5500,3050,0.34
4700,5500,3050,0.5
4350,5550,3050,0.61
4400,5550,3050,0.58
4450,5550,3050,0.75
4500,5550,3050,0.5
4550,5550,3050,0.48
4600,5550,3050,0.64
4650,5550,3050,0.56
4350,5600,3050,0.52
